Compagnie;Cotation
CARRIER GLOBAL CORP.;57.74
CARS.COM INC.;12.03
CARTER S INC.;102.26
CARVANA CO. CLASS A;350.19
CASPER SLEEP INC.;5.08
CASTLIGHT HEALTH INC. CLASS B;1.71
CATALENT INC.;128.99
CATCHA INVESTMENT;9.60
CATCHMARK TIMBER TRUST;11.56
CATERPILLAR INC.;212.02
CATO CORP.;16.51
CBIZ INC.;33.11
CBRE CLARION GLOB. REAL ESTATE INC. FUN;8.93
CBRE GROUP INC;93.38
CC NEUBERGER PRINCIPAL HLD.;9.77
CC NEUBERGER PRINCIPAL HLD.;9.69
CCC INTELLIGENT SOLUTIONS HLD.;10.71
CEDAR FAIR L.P.;45.19
CEDAR REALTY TRUST INC.;17.25
CELANESE CORP.;157.66
CELESTICA INC.;9.12
CEMENTOS PACASMAYO S.A.A. ADS EACH;5.63
CEMEX S.A.B. DE C.V. SPONSORED ADR;8.06
CENOVUS ENERGY INC;8.14
CENTENE CORP.;63.64
CENTER COAST BROOKFIELD MLP & ENERGY IN;12.89
CENTERPOINT ENERGY INC HOLDING CO;25.56
CENTERRA GOLD INC.;7.47
CENTRAIS ELECTRICAS BRASILEIRAS S A ADS;7.45
CENTRAIS ELECTRICAS BRASILEIRAS S.A.- E;7.61
CENTRAL PACIFIC FIN. CORP NEW;25.54
CENTRAL PUERTO S.A. ADS EACH;2.72
CENTURY COMMUNITIES INC.;68.48
CERIDIAN HCM HOLDING INC.;109.80
CF INDUSTRIES HLD.;44.98
CGI INC.;86.75
CHANNELADVISOR CORP.;24.57
CHARAH SOLUTIONS INC.;4.56
CHARGEPOINT HOLDINGS INC.;21.71
CHARLES RIVER LABORATORIES INTL.;432.92
CHARLES SCHWAB CORP.;74.07
CHART INDUSTRIES INC.;181.60
CHATHAM LODGING TRUST REIT;11.70
CHEETAH MOBILE INC. ADS;1.89
CHEGG INC.;80.83
CHEMED CORP;466.08
CHEMOURS COMPANY THE;34.12
CHERRY HILL MORTGAGE INVESTMENT;8.96
CHESAPEAKE UTILITIES;127.64
CHEVRON CORP.;98.01
CHEWY INC. CLASS A;89.04
CHICO S FAS INC.;6.05
CHIMERA INVESTMENT;15.12
CHINA EASTERN AIRLINES;19.08
CHINA GREEN AGRICULTURE INC.;8.63
CHINA LIFE INSURANCE CO.;8.37
CHINA ONLINE EDUCATION GROUP ADS;2.65
CHINA PETROLEUM & CHEMICAL;44.99
CHINA SOUTHERN AIRLINES CO.;28.50
CHINA YUCHAI INTERNATIONAL;14.11
CHIPOTLE MEXICAN GRILL INC.;1910.32
CHOICE HOTELS INTL.;118.33
CHUBB LTD.;186.04
CHUNGHWA TELECOM CO.;39.61
CHURCH & DWIGHT CO.;82.54
CHURCHILL CAPITAL CORP V CLASS A;9.68
CHURCHILL CAPITAL CORP VI CLASS A;9.77
CHURCHILL CAPITAL CORP VII CLASS A;9.65
CI FINANCIAL CORP.;19.35
CIENA CORP.;56.50
CIGNA CORP.;209.01
CIMAREX ENERGY CO;59.61
CINCINNATI BELL INC.;15.49
CINEMARK HLD.;16.95
CINER RESOURCES LP;12.79
CIRCOR INTERNATIONAL INC.;33.87
CIT GROUP INC DEL;53.29
CITIGROUP INC.;72.90
CITIZENS FINANCIAL GROUP INC.;44.12
CITIZENS INC. CLASS A;5.73
CITY OFFICE REIT INC.;16.21
CIVEO CORP.;20.65
CLARIVATE PLC;25.09
CLASS ACCELERATION;9.63
CLEAN HARBORS INC.;101.38
CLEAR CHANNEL OUTDOOR HLD.;2.30
CLEAR SECURE INC. CLASS A;50.61
CLEARBRIDGE ENERGY MIDSTREAM OPPORTUNIT;20.69
CLEARBRIDGE MLP AND MIDSTREAM FUND;25.93
CLEARBRIDGE MLP AND MIDSTREAM TOTAL RET;22.86
CLEARWATER PAPER;32.31
CLEARWAY ENERGY INC. CLASS A;30.04
CLEARWAY ENERGY INC. CLASS C;31.78
CLEVELAND-CLIFFS INC.;24.09
CLIPPER REALTY INC.;8.04
CLOOPEN GROUP HOLDING;4.46
CLOROX COMPANY THE;165.50
CLOUDERA INC.;15.94
CLOUDFLARE INC. CLASS A;121.32
CMS ENERGY CORP.;63.83
CMS ENERGY CORP.;27.17
CMS ENERGY CORP.;27.15
CMS ENERGY CORP.;27.14
CNA FINANCIAL CORP.;43.98
CNFINANCE HOLDINGS;3.90
CNH INDUSTRIAL N.V.;16.47
CNO FINANCIAL GROUP INC.;24.51
CNX RESOURCES CORP.;10.78
COCA COLA FEMSA S.A.B. DE C.V.  ADS;56.90
COCA-COLA CO.;55.85
COCA-COLA EUROPACIFIC PARTNERS PLC;57.69
COEUR MINING INC.;6.64
COHEN & STEERS INC;86.66
COHEN & STEERS INFRA. FUND INC;28.43
COHEN & STEERS QUALITY INC. REALTY FUND;15.63
COHEN & STEERS TAX-ADVANTAGED PREF SECU;25.27
COHN ROBBINS HOLDINGS;9.72
COLFAX CORP.;47.94
COLFAX CORP.;197.21
COLGATE-PALMOLIVE CO.;77.60
COLUMBIA PROPERTY TRUST INC.;16.77
COLUMBIA SELIGMAN PREMIUM TECHNOLOGY GR;34.08
COMCAST HOLDINGS ZONES;63.97
COMERICA INC.;74.86
COMFORT SYSTEMS USA INC.;74.43
COMMERCIAL METALS CO.;33.03
COMMUNITY BANK SYSTEM INC.;73.42
COMMUNITY HEALTH SYSTEMS INC.;12.16
COMMUNITY HEALTHCARE TRUST;47.87
COMP EN DE MN CEMIG ADS ADRS;3.14
COMP EN DE MN CEMIG ADS ADS;2.45
COMPANHIA BRASILEIRA DE DISTRIBUICAO AM;5.64
COMPANHIA DE SANEAMENTO BASICO DO ESTAD;6.90
COMPANHIA PARANAENSE DE ENERGIA COPEL A;6.12
COMPANHIA SIDERURGICA NACIONAL S.A.;7.09
COMPANIA CERVECERIAS UNIDAS S.A.;19.97
COMPASS INC. CLASS A;15.68
COMPASS MINERALS INTL INC;65.63
COMSTOCK RESOURCES INC.;5.28
CONAGRA BRANDS INC.;32.62
CONCORD MEDICAL SERVICES HLD.;2.53
CONMED CORP.;131.89
CONOCOPHILLIPS;55.27
CONSOL ENERGY INC.;21.93
CONSOLIDATED EDISON INC.;75.19
CONSTELLATION BRANDS INC.;217.61
CONSTELLATION BRANDS INC.;213.57
CONSTELLIUM SE;19.41
CONTAINER STORE THE;11.35
CONTINENTAL RESOURCES INC.;36.72
CONTROLADORA VUELA COMPANIA DE AVIACION;18.83
CONVEY HOLDING PARENT INC.;8.90
COOPER-STANDARD HLD.;23.04
COOTEK CAYMAN INC. ADS;1.66
COPA HLD.;75.47
CORE & MAIN INC. CLASS A;28.15
CORE LABORATORIES N.V.;26.87
CORECIVIC INC.;9.36
CORENERGY INFRA. TRUST;4.53
COREPOINT LODGING INC.;13.64
CORESITE REALTY;141.63
CORNERSTONE BUILDING BRANDS;15.91
CORNING INC.;40.56
CORP.;28.01
CORPORACION AMERICA AIRPORTS SA;5.28
CORSAIR PARTNERING;9.85
CORTEVA INC.;44.23
COSAN S.A. ADS;16.58
COSTAMARE INC.;13.03
COTY INC. CLASS A;9.34
COUPANG INC. CLASS A;30.80
COURSERA INC.;37.21
COUSINS PROPERTIES INC.;38.76
COVANTA HOLDING;20.02
CRANE CO.;101.77
CRAWFORD & COMPANY;9.72
CRAWFORD & COMPANY;9.30
CREDICORP LTD.;103.48
CREDIT SUISSE GROUP ADS;10.62
CRESCENT POINT ENERGY;3.40
CRESTWOOD EQUITY PARTNERS LP;26.22
CRESTWOOD EQUITY PARTNERS LP PREF UNITS;9.36
CRH PLC ADS;53.66
CROSS TIMBERS ROYALTY TRUST;12.02
CROSSAMERICA PARTNERS LP;18.86
