Compagnie;Cotation
KILROY REALTY CORP.;65.06
KIMBELL ROYALTY PARTNERS;10.57
KIMBERLY-CLARK CORP.;136.36
KIMCO REALTY CORP.;21.79
KINDER MORGAN INC.;16.23
KINGSWAY FIN.;5.40
KINROSS GOLD CORP.;5.90
KIRBY CORP.;54.33
KIRKLAND LAKE GOLD;38.50
KITE REALTY GROUP TRUST;20.17
KKR & CO. INC.;64.56
KKR GROUP FINANCE CO. IX LLC 4.625% SUB;26.14
KKR INCOME OPPORTUNITIES FUND;16.34
KKR REAL ESTATE FINANCE TRUST;20.98
KNIGHT-SWIFT TRANSPORTATION HLD.;50.65
KNOT OFFSHORE PARTNERS LP;17.91
KNOWLES CORP.;19.66
KOHL S CORP.;57.50
KONINKLIJKE PHILIPS N.V. NY REGISTRY SH;44.73
KONTOOR BRANDS INC.;54.52
KOPPERS HLD.;31.69
KOREA ELECTRIC POWER;10.10
KORN FERRY;69.90
KOSMOS ENERGY LTD.;2.17
KRATON CORP.;40.88
KROGER COMPANY THE;45.33
KRONOS WORLDWIDE INC;13.30
KT CORP.;13.91
KUKE MUSIC HOLDING;6.10
L.S. STARRETT CO.;7.23
L3HARRIS TECHNOLOGIES INC.;233.38
LA-Z-BOY INC.;34.82
LABORATORY CORP.;301.26
LADDER CAPITAL CORP CLASS A;11.25
LAIX INC. ADS;1.000
LAMB WESTON HOLDINGS INC.;64.71
LANNETT CO INC;3.85
LAREDO PETROLEUM INC.;45.70
LAS VEGAS SANDS;43.06
LAZARD;48.02
LAZARD GLOB. TOTAL RETURN AND INC. FUND;21.46
LCI INDUSTRIES;142.52
LEAR CORP.;158.52
LEGGETT & PLATT INC.;48.48
LEHMAN ABS 3.50 3.50% ADJUSTABLE CORP B;31.75
LEIDOS HOLDINGS INC.;97.40
LEJU HOLDINGS LTD.;1.58
LEMONADE INC.;72.77
LENDINGCLUB CORP.;27.83
LENNAR CORP.;106.21
LENNAR CORP.;87.00
LENNOX INTERNATIONAL INC.;330.68
LEO HOLDINGS;9.63
LEO HOLDINGS III;9.86
LEVI STRAUSS & CO CLASS A;26.78
LEXINGTON REALTY TRUST;13.23
LG DISPLAY CO LTD ADS;8.81
LI-CYCLE HOLDINGS;8.67
LIBERTY ALL-STAR EQUITY FUND;8.47
LIBERTY OILFIELD SERVICES;10.08
LIFE STORAGE INC.;121.30
LIGHTINTHEBOX HOLDING CO.;1.22
LIGHTNING EMOTORS INC;7.15
LIGHTSPEED COMMERCE;99.96
LINCOLN NATIONAL;69.64
LINDE PLC ORDINARY SHARE;312.55
LINDSAY CORP.;166.54
LIONS GATE ENTERTAINMENT;12.14
LIONS GATE ENTERTAINMENT;11.12
LITHIA MOTORS INC.;333.70
LITHIUM AMERICAS;18.05
LIVE NATION ENTERTAINMENT INC.;84.67
LIVENT CORP.;24.17
LIVERAMP HOLDINGS INC.;44.43
LLOYDS BANKING GROUP PLC ADS;2.39
LMP CAPITAL AND INC. FUND;14.41
LOANDEPOT INC. CLASS A;8.27
LOCKHEED MARTIN;359.74
LOEWS CORP.;55.94
LOMA NEGRA COMPANIA INDUSTRIAL ARGENTIN;7.64
LOUISIANA-PACIFIC;62.75
LOWE S COMPANIES INC.;204.23
LSB INDUSTRIES INC.;8.28
LTC PROPERTIES INC.;34.23
LUBY S INC.;4.10
LUFAX HOLDING LTD ADS TWO OF WHICH;8.70
LUMBER LIQUIDATORS HLD.;19.87
LUMEN TECHNOLOGIES INC.;12.36
LUMENT FINANCE TRUST INC.;4.06
LUXFER HOLDINGS PLC;20.82
LYDALL INC.;61.87
LYONDELLBASELL INDUSTRIES NV;102.40
M&T BANK CORP.;141.10
M.D.C. HOLDINGS INC.;51.19
M/I HOMES INC.;63.62
MACERICH COMPANY THE;16.09
MACK-CALI REALTY;17.53
MACQUARIE FIRST TRUST GLOBAL;9.85
MACQUARIE GLOB. INFRA. TOTAL RETURN FUN;23.83
MACQUARIE INFRASTRUCTURE;39.75
MACY S INC;22.48
MADISON COVERED CALL & EQUITY STRATEGY;8.14
MADISON SQUARE GARDEN ENTERTAINMENT;74.97
MADISON SQUARE GARDEN SPORTS;171.33
MAGELLAN MIDSTREAM PARTNERS L.P.;48.36
MAGNA INTERNATIONAL INC.;79.12
MAGNACHIP SEMICONDUCTOR;18.88
MAGNOLIA OIL & GAS;2.87
MAGNOLIA OIL & GAS;14.18
MAIDEN HLD.;23.58
MAIDEN HOLDINGS;22.07
MAIN STREET CAPITAL;41.72
MAINSTAY MACKAY DEFINEDTERM MUNI. OPPOR;22.58
MANCHESTER UNITED;17.06
MANITOWOC CO.;24.60
MANNING & NAPIER INC. CLASS A;9.78
MANPOWERGROUP;121.58
MANULIFE FINANCIAL;19.82
MARATHON OIL CORP.;11.55
MARATHON PETROLEUM;58.27
MARCUS & MILLICHAP INC.;38.19
MARCUS CORP.;15.60
MARINE PRODUCTS;13.85
MARINEMAX INC.  FL;48.78
MARKEL CORP.;1270.92
MARKFORGED HOLDING;8.22
MARRIOTT VACATIONS WORLDWIDE;150.61
MARSH & MCLENNAN COMPANIES;155.36
MARTIN MARIETTA MATERIALS INC.;384.52
MASCO CORP.;61.59
MASON INDUSTRIAL TECHNOLOGY;9.68
MASONITE INTERNATIONAL;120.56
MASTEC INC.;93.24
MASTERCARD INC.;352.74
MATADOR RESOURCES CO.;26.81
MATERION CORP.;68.83
MATSON INC.;77.11
MAUI LAND & PINEAPPLE CO.;11.06
MAXAR TECHNOLOGIES INC.;29.72
MAXIMUS INC.;84.81
MAXLINEAR INC.;51.32
MAYVILLE ENGINEERING CO.;15.28
MBIA INC.;11.61
MCCORMICK & CO.;84.45
MCCORMICK & CO.;85.13
MCDONALD S CORP.;236.86
MCEWEN MINING INC.;1.11
MCKESSON CORP.;196.41
MDU RESOURCES GROUP INC.;32.15
MECHEL PAO ADS EACH;1.19
MECHEL PAO ADS EACH REP. 1;2.69
MEDALLIA INC.;33.77
MEDIAALPHA INC. CLASS A;23.06
MEDICAL PROPERTIES TRUST INC.;19.92
MEDIFAST INC;220.86
MEDNAX INC.;33.14
MEDTRONIC PLC.;133.67
MEMBERSHIP COLLECTIVE GROUP;11.10
MERCK & COMPANY INC.;76.85
MERCURY GENERAL;58.92
MEREDITH CORP.;41.29
MERIDIANLINK INC.;25.80
MERITAGE HOMES CORP.;109.94
MERITOR INC.;23.64
MERRILL LYNCH DEPOSITOR INC PPLUS TR SE;23.50
MESA ROYALTY TRUST;5.64
MESABI TRUST;32.46
METHODE ELECTRONICS INC.;47.22
METLIFE INC.;62.08
METROPOLITAN BANK HOLDING;77.80
METTLER-TOLEDO INTL.;1551.74
MFA FINANCIAL INC.;4.73
MFS CHARTER INCOME TRUST;8.66
MFS GOVERNMENT MARKETS INC. TRUST;4.40
MFS HIGH INC. MUNI. TRUST;5.47
MFS INTERMEDIATE HIGH INC. FUND;2.87
MFS INTERMEDIATE INCOME TRUST;3.68
MFS INVESTMENT GRADE MUNI. TRUST;10.32
MFS MULTIMARKET INCOME TRUST;6.34
MFS MUNICIPAL INCOME TRUST;4.83
MFS MUNICIPAL INCOME TRUST;7.28
MFS SPECIAL VALUE TRUST;6.62
MGIC INVESTMENT;15.24
MGM GROWTH PROPERTIES LLC CLASS A;39.75
MGM RESORTS INTERNATIONAL;41.88
MICRO FOCUS INTL PLC ADS;5.95
MID-AMERICA APARTMENT COMMUNITIES;188.42
MILLER INDUSTRIES INC.;37.12
MILLER/HOWARD HIGH INC. EQUITY FUND;10.01
MINERALS TECHNOLOGIES INC.;77.31
MINISO GROUP HOLDING;13.08
MISSION ADVANCEMENT;9.67
MISTER CAR WASH INC.;18.68
MISTRAS GROUP INC;9.64
MITSUBISHI UFJ FIN. GROUP;5.47
MIX TELEMATICS LTD.;13.13
MIZUHO FIN. GROUP;2.82
MOBILE TELESYSTEMS PJSC;8.94
MODEL N INC.;33.81
MODINE MANUFACTURING CO.;12.50
MOELIS & CO.;62.17
MOGU INC. ADS EACH;1.01
MOHAWK INDUSTRIES INC.;201.04
MOLINA HEALTHCARE INC;262.81
MOLSON COORS BEVERAGE CO.;47.38
MOLSON COORS BEVERAGE CO.;60.82
MONMOUTH REAL ESTATE INVESTMENT;18.83
MONTROSE ENVIRONMENTAL GROUP;49.22
MOODY S CORP.;375.68
MOOG INC. CLASS A;76.15
MOOG INC. CLASS B;76.34
MORGAN STANLEY;104.06
MORGAN STANLEY CHINA A SHARE FUND;20.93
MOSAIC COMPANY THE;31.85
MOTIVE CAPITAL CORP CLASS A;9.72
MOTOROLA SOLUTIONS INC.;241.88
MOVADO GROUP INC.;34.62
MP MATERIALS CORP.;33.04
MPLX LP;27.90
MRC GLOBAL INC.;7.97
MSA SAFETY INC.;158.58
MSC INDUSTRIAL DIRECT CO.;83.61
MSCI INC;626.48
MUELLER INDUSTRIES INC.;44.34
MUELLER WATER PRODUCTS;15.94
MULTIPLAN CORP.;5.74
MURPHY OIL CORP.;21.05
MURPHY USA INC.;152.74
MV OIL TRUST UNITS OF BENEFICIAL INTERE;6.37
MYERS INDUSTRIES INC.;22.41
MYOVANT SCIENCES;22.50
MYT NETHERLANDS PARENT B.V. ADS;28.33
N-ABLE INC.;13.35
NABORS INDUSTRIES;75.50
NACCO INDUSTRIES INC.;26.15
NAM TAI PROPERTY INC.;24.75
NATIONAL BANK HOLDINGS;37.02
NATIONAL FUEL GAS CO.;50.63
NATIONAL GRID TRANSCO PLC NATIONAL GRID;64.73
NATIONAL HEALTH INVESTORS INC.;60.48
NATIONAL PRESTO INDUSTRIES;85.36
NATIONAL RETAIL PROPERTIES;46.60
NATIONAL RURAL UTILITIES COOPERATIVE FI;27.03
NATIONAL STORAGE AFFILIATES TRUST;55.87
NATURA &CO HOLDING S.A. ADS;20.04
NATURAL GAS SERVICES GROUP;9.35
NATURAL GROCERS BY VITAMIN COTTAGE;11.36
NATURAL RESOURCE PARTNERS LP;20.25
NATUZZI S.P.A.;15.61
NATWEST GROUP PLC ADS;5.99
NAUTILUS INC.;12.22
NAVIGATOR HOLDINGS;8.90
NAVIOS MARITIME HLD.;4.54
NAVIOS MARITIME PARTNERS LP;25.60
NAVSIGHT HLD.;9.93
NCR CORP.;42.69
NEENAH INC.;49.26
NELNET INC.;78.59
NEOPHOTONICS CORP.;9.12
NETSTREIT CORP.;25.48
NEUBERGER BERMAN NEXT GENERATION CONNEC;20.04
NEVRO CORP.;113.36
NEW FRONTIER HEALTH;11.25
NEW HOME CO.;8.96
NEW IRELAND FUND INC THE;13.15
NEW ORIENTAL EDUCATION & TECHNOLOGY GRO;2.05
NEW RELIC INC.;77.95
NEW RESIDENTIAL INVESTMENT;10.47
NEW SENIOR INVESTMENT GROUP;8.56
NEW YORK CITY REIT;9.42
NEW YORK COMMUNITY BANCORP;51.71
NEW YORK COMMUNITY BANCORP;12.45
NEW YORK TIMES CO.;50.40
NEWJERSEY RESOURCES;36.99
NEWMARKET CORP;346.77
NEWMONT CORP.;57.09
NEWPARK RESOURCES INC.;2.34
NEXA RESOURCES S.A.;7.60
NEXPOINT REAL ESTATE FINANCE;20.96
NEXPOINT RESIDENTIAL TRUST;61.39
NEXPOINT STRATEGIC OPPORTUNITIES FUND;14.93
NEXTERA ENERGY INC.;84.09
NEXTERA ENERGY INC. 6.219%;54.80
NEXTERA ENERGY PARTNERS LP;79.82
NEXTIER OILFIELD SOLUTIONS;3.55
NGL ENERGY PARTNERS LP;1.48
NIELSEN N.V.;21.35
NIKE INC.;166.61
NINE ENERGY SERVICE INC.;2.02
NIO INC. ADS;38.26
NISOURCE INC;24.93
NISOURCE INC SERIES A;106.91
NL INDUSTRIES INC.;6.61
NOAH HOLDINGS LTD.;36.60
NOBLE CORP.;22.78
NOKIA CORP.;6.04
NOMAD FOODS LTD.;26.55
NOMURA HLD.;4.78
NORDIC AMERICAN TANKERS;2.29
NORDSTROM INC.;29.10
NORFOLK SOUTHERN;259.30
NORTH AMERICAN CONSTRUCTION GROUP;13.71
NORTH EUROPEAN OIL ROYALITY TRUST;6.88
NORTHERN STAR INVESTMENT;9.75
NORTHERN STAR INVESTMENT;9.86
NORTHERN STAR INVESTMENT;9.66
NORTHROP GRUMMAN;363.89
NORTHWEST NATURAL HOLDING CO.;51.04
NORWEGIAN CRUISE LINE HLD.;25.53
NOUVEAU MONDE GRAPHITE INC.;6.30
NOV INC.;13.17
NOVARTIS AG;91.62
NOVO NORDISK A/S;104.06
NOVUS CAPITAL CORP.;9.67
NOW INC.;7.49
NRG ENERGY INC.;45.68
NU SKIN ENTERPRISES INC.;51.10
NUCOR CORP.;119.71
NUSTAR ENERGY L.P.;16.27
NUSTAR LOGISTICS L.P. 7.625% FIXED-TO-F;25.18
NUTRIEN LTD.;60.01
NUVATION BIO INC. CLASS A;9.66
NUVEEN AMT-FREE MUNI. CREDIT INC. FUND;18.07
NUVEEN AMT-FREE MUNI. VALUE FUND;17.52
NUVEEN AMT-FREE QUALITY MUNI. INC. FUND;15.81
NUVEEN ARIZONA QUALITY MUNI. INC. FUND;16.08
NUVEEN CALIFORNIA AMT-FREE QUALITY MUNI;16.55
NUVEEN CALIFORNIA MUNI. VALUE FUND;10.69
NUVEEN CALIFORNIA QUALITY MUNI. INC. FU;15.85
NUVEEN CALIFORNIA SELECT TAX-FREE INC.;16.50
NUVEEN CORE EQUITY ALPHA FUND NUVEEN CO;17.01
NUVEEN CORE PLUS IMPACT FUND;19.71
NUVEEN CORP.;9.38
NUVEEN CORP.;9.92
NUVEEN CREDIT OPPORTUNITIES 2022 TARGET;8.28
NUVEEN CREDIT STRATEGIES INC. FUND SHAR;6.51
NUVEEN DIV. DIVIDEND AND INC. FUND SHAR;10.52
NUVEEN DOW 30SM DYNAMIC OVERWRITE FUND;17.54
NUVEEN DYNAMIC MUNI. OPPORTUNITIES FUND;17.26
NUVEEN EMERGING MARKETS DEBT 2022 TARGE;8.07
NUVEEN ENHANCED MUNI. VALUE FUND;16.90
NUVEEN FLOATING RATE INC. FUND;9.88
NUVEEN FLOATING RATE INC. OPPORTUNTIY F;9.81
NUVEEN GEORGIA QUALITY MUNI. INC. FUND;13.80
NUVEEN GLOBAL HIGH INCOME FUND;16.04
NUVEEN INTERMEDIATE DURATION MUNI. TERM;14.83
NUVEEN MASSACHUSETTS QUALITY MUNI. INC.;15.20
NUVEEN MINNESOTA QUALITY MUNI. INC. FUN;15.91
NUVEEN MISSOURI QUALITY MUNI. INC. FUND;15.81
NUVEEN MORTGAGE AND INC. FUND;21.03
NUVEEN MULTI-MARKET INC. FUND MA;7.43
NUVEEN MUNI. CREDIT INC. FUND;17.41
NUVEEN MUNI. CREDIT OPPORTUNITIES FUND;15.82
NUVEEN MUNI. HIGH INC. OPPORTUNITY FUND;15.45
NUVEEN NEW JERSEY QUALIFIED MUNI. FUND;15.57
NUVEEN NEW YORK AMT-FREE QUALITY MUNI.;14.26
NUVEEN NEW YORK MUNI. VALUE FUND;10.23
NUVEEN NEW YORK QUALITY MUNI. INC. FUND;15.23
NUVEEN NEW YORK SELECT TAX-FREE INC. PO;14.27
NUVEEN OHIO QUALITY MUNI. INC. FUND;16.44
NUVEEN PENNSYLVANIA QUALITY MUNI. INC.;15.09
NUVEEN PREF & INC. OPPORTUNITIES FUND;9.98
NUVEEN PREF & INC. SECURITIES FUND;9.97
NUVEEN PREF AND INC. 2022 TERM FUND;25.07
NUVEEN PREF AND INC. TERM FUND;25.60
NUVEEN QUALITY MUNI. INC. FUND;16.26
NUVEEN REAL ASSET INC. AND GROWTH FUND;15.86
NUVEEN REAL ESTATE INCOME FUND;11.24
NUVEEN S&P 500 BUY-WRITE INC. FUND;14.90
NUVEEN S&P 500 DYNAMIC OVERWRITE FUND;18.18
NUVEEN SELECT MATURITIES MUNI. FUND;10.87
NUVEEN SELECT TAX FREE INC. PORTFOLIO;17.48
NUVEEN SELECT TAX FREE INC. PORTFOLIO I;16.01
NUVEEN SELECT TAX FREE INC. PORTFOLIO I;18.08
NUVEEN SENIOR INCOME FUND;5.72
NUVEEN SHORT DURATION CREDIT OPPORTUNIT;14.78
NUVEEN TAX-ADVANTAGED DIVIDEND GROWTH F;16.33
NUVEEN TAX-ADVANTAGED TOTAL RETURN STRA;11.49
NUVEEN TAXABLE MUNI. INC. FUND;23.15
NUVEEN VIRGINIA QUALITY MUNI. INC. FUND;17.25
NUVEENN INTERMEDIATE DURATION QUALITY M;14.93
NVENT ELECTRIC PLC;33.89
NVR INC.;5114.54
O-I GLASS INC.;14.93
OAK STREET HEALTH INC.;47.00
OCCIDENTAL PETROLEUM;24.15
OCEANEERING INTERNATIONAL INC.;12.07
OCWEN FINANCIAL;27.48
OFG BANCORP;23.45
OGE ENERGY CORP;35.77
OI S.A. ADS EACH;1.09
OIL STATES INTERNATIONAL INC.;5.61
OIL-DRI CORP.;35.35
OLD REPUBLIC INTERNATIONAL;26.49
OLIN CORP.;47.26
OLO INC. CLASS A;44.99
OMEGA HEALTHCARE INVESTORS;32.91
OMNICOM GROUP INC.;71.62
ON24 INC.;23.35
ONE GAS INC.;71.31
ONE LIBERTY PROPERTIES INC.;31.33
ONE MADISON CORP.;1.35
ONECONNECT FIN. TECHNOLOGY CO.;4.15
ONEMAIN HOLDINGS INC.;57.09
ONEOK INC.;52.73
ONESMART INTL. EDUCATION GROUP;0.540
ONION GLOBAL LTD.;3.02
ONTO INNOVATION INC.;72.60
OOMA INC.;17.82
OPPENHEIMER HLD.;46.33
OPPFI INC. CLASS A;6.79
ORACLE CORP.;88.89
ORANGE;11.44
ORCHID ISLAND CAPITAL INC.;5.11
ORGANON & CO.;33.75
ORION ENGINEERED CARBONS S.A;17.52
ORION GROUP HLD.;5.41
ORIX CORP ADS;93.66
ORMAT TECHNOLOGIES INC.;68.35
OSCAR HEALTH INC. CLASS A;13.57
OSHKOSH CORP.;115.57
OSISKO GOLD ROYALTIES LTD;12.05
OTIS WORLDWIDE CORP.;91.48
OUSTER INC.;8.79
OUTFRONT MEDIA INC.;24.44
OVERSEAS SHIPHOLDING GROUP;2.58
OVINTIV INC. DE;25.59
OWENS & MINOR INC.;36.71
OWENS CORNING INC;96.50
OWL ROCK CAPITAL;14.56
OWLET INC. CLASS A;6.71
OXFORD INDUSTRIES INC.;90.59
PACIFIC GAS & ELECTRIC CO.;9.21
PACIFIC GAS & ELECTRIC CO. EQUITY UNIT;92.57
PACKAGING CORP.;149.73
PAGERDUTY INC.;39.73
PAGSEGURO DIGITAL;57.98
PALANTIR TECHNOLOGIES;24.70
PALO ALTO NETWORKS INC.;453.20
PAMPA ENERGIA S.A. PAMPA ENERGIA S.A.;16.94
PAR PACIFIC HLD.;15.54
PAR TECHNOLOGY CORP.;64.55
PARAMOUNT GROUP INC.;8.75
PARK AEROSPACE CORP.;14.90
PARK HOTELS & RESORTS INC.;18.75
PARKER-HANNIFIN;302.88
PARSONS CORP.;35.98
PARTY CITY HOLDCO INC.;6.62
PAYCOM SOFTWARE INC.;482.47
PAYMENTUS HLD.;25.21
PAYSAFE LTD.;8.28
PBF ENERGY INC. CLASS A;9.40
PBF LOGISTICS LP;11.53
PEABODY ENERGY CORP.;13.91
PEARSON PLC;10.64
PEBBLEBROOK HOTEL TRUST;21.17
PEMBINA PIPELINE;30.58
PENNSYLVANIA REAL ESTATE INVESTMENT TRU;1.95
PENNYMAC FIN.;65.79
PENNYMAC MORTGAGE INVESTMENT TRUST;19.19
PENSKE AUTOMOTIVE GROUP INC.;87.20
PENTAIR PLC. ORD.;76.79
PENUMBRA INC.;269.06
PERFORMANCE FOOD GROUP CO.;46.40
PERIPHAS CAPITAL PARTNERING;24.09
PERKINELMER INC.;182.80
PERMIAN BASIN ROYALTY TRUST;5.26
PERMIANVILLE ROYALTY TRUST TRUST UNITS;1.81
PERMROCK ROYALTY TRUST TRUST UNITS;6.44
PERRIGO CO.;40.39
PERSHING SQUARE TONTINE HLD.;19.78
PETROCHINA CO.;39.98
PETROLEO BRASILEIRO S.A.- PETROBRAS;10.81
PETROLEO BRASILEIRO S.A.- PETROBRAS ADS;10.50
PFIZER INC.;47.38
PGIM SHORT DURATION HIGH YIELD OPPORTUN;18.98
PGT INNOVATIONS INC.;20.83
PHILIP MORRIS INTL. INC;101.46
PHILLIPS 66;70.63
PHILLIPS 66 PARTNERS LP;35.44
PHOENIX NEW MEDIA;1.26
PHREESIA INC.;69.23
PHX MINERALS INC.;2.60
PHYSICIANS REALTY TRUST;18.17
PIEDMONT OFFICE REALTY TRUST;17.65
PIMCO CALIFORNIA MUNI. INC. FUND;18.91
PIMCO CALIFORNIA MUNI. INC. FUND II;9.74
PIMCO CALIFORNIA MUNI. INC. FUND III;11.44
PIMCO CORP.;18.35
PIMCO CORP.;19.85
PIMCO DYNAMIC CREDIT AND MORTGAGE INC.;22.24
PIMCO DYNAMIC INC. OPPORTUNITIES FUND;21.43
PIMCO DYNAMIC INCOME FUND;28.22
PIMCO ENERGY AND TACTICAL CREDIT OPPORT;11.42
PIMCO GLOB. STOCKSPLUS & INC. FUND PIMC;11.20
PIMCO HIGH INC. FUND PIMCO HIGH INC. FU;6.75
PIMCO INC. STRATEGY FUND SHARES OF BENE;12.86
PIMCO INCOME OPPORTUNITY FUND;26.42
PIMCO INCOME STRATEGY FUND II;11.11
PIMCO MUNI. INC. FUND III;13.20
PIMCO MUNICIPAL INCOME FUND;15.37
PIMCO MUNICIPAL INCOME FUND II;15.09
PIMCO NEW YORK MUNI. INC. FUND;13.24
PIMCO NEW YORK MUNI. INC. FUND II;11.90
PIMCO NEW YORK MUNI. INC. FUND III;10.46
PING IDENTITY HOLDING;25.06
PINNACLE WEST CAPITAL;77.25
PINTEREST INC. CLASS A;56.62
PIONEER NATURAL RESOURCES CO.;147.14
PIPER SANDLER COMPANIES;143.07
PITNEY BOWES INC.;7.47
PIVOTAL INVESTMENT;9.64
PJT PARTNERS INC. CLASS A;79.74
PLANET FITNESS INC.;79.26
PLANTRONICS INC.;31.07
PLAYAGS INC.;8.26
PLDT INC. SPONSORED ADR;28.25
PLYMOUTH INDUSTRIAL REIT INC.;22.30
PNC FIN. GROUP;191.69
PNM RESOURCES INC. HOLDING CO.;49.65
POLARIS INC.;124.25
PONTEM CORP.;9.63
PORTLAND GENERAL ELECTRIC CO;50.40
POSCO;68.02
POST HOLDINGS INC.;112.08
POST HOLDINGS PARTNERING;9.69
POSTAL REALTY TRUST;19.43
POWERSCHOOL HLD.;31.53
PPG INDUSTRIES INC.;161.90
PPL CORP.;29.21
PPLUS TR GSC-2 TR CTF FLTG RATE;24.06
PRECISION DRILLING;30.81
PREFERRED APARTMENT COMMUNITIES;12.09
PRESTIGE CONSUMER HEALTHCARE;56.49
PRETIUM RESOURCES INC.;9.96
PRIMERICA INC.;151.32
PRIMO WATER CORP.;17.45
PRINCIPAL REAL ESTATE INC. FUND;15.42
PROASSURANCE CORP.;24.94
PROCORE TECHNOLOGIES INC.;89.48
PROCTER & GAMBLE CO.;142.34
PROG HOLDINGS INC.;45.91
PROGRESSIVE CORP.;96.25
PROLOGIS INC.;130.31
PROPETRO HOLDING;7.35
PROS HOLDINGS INC.;41.96
PROSPECT CAPITAL;25.70
PROSPERITY BANCSHARES INC.;70.28
PROTO LABS INC.;71.93
PROVIDENT FIN. INC;21.98
PRUDENTIAL FIN.;25.95
PRUDENTIAL FIN.;27.34
PRUDENTIAL FINANCIAL INC.;106.31
PRUDENTIAL PUBLIC;26.58
PRUDENTIAL PUBLIC;42.09
PS BUSINESS PARKS;26.75
PS BUSINESS PARKS;27.88
PS BUSINESS PARKS;26.73
PS BUSINESS PARKS;25.35
PS BUSINESS PARKS INC. MD;150.88
PT TELEKOMUNIKASI INDONESIA TBK;23.14
PUBLIC SERVICE ENTERPRISE GROUP;64.24
PUBLIC STORAGE;318.48
PUBLIC STORAGE DEPOSITARY SHARES;25.14
PULTEGROUP INC.;53.45
PURE STORAGE INC. CLASS A;23.95
PUTNAM MANAGED MUNI. INC. TRUST;8.56
PUTNAM MASTER INTERMEDIATE INC. TRUST;4.09
PUTNAM MUNI. OPPORTUNITIES TRUST;14.62
PUTNAM PREMIER INCOME TRUST;4.57
PUXIN LTD.;0.601
PVH CORP.;105.46
PZENA INVESTMENT MANAGEMENT INC CLASS A;11.31
Q2 HOLDINGS INC.;84.20
QIAGEN N.V.;54.52
QTS REALTY TRUST INC. CLASS A;77.89
QUAD GRAPHICS INC CLASS A;4.30
QUAKER CHEMICAL;246.01
QUANEX BUILDING PRODUCTS;23.40
QUANTA SERVICES INC.;101.57
QUANTUMSCAPE CORP.;21.42
QUDIAN INC. ADS;1.64
QUEST DIAGNOSTICS INC.;149.50
QUOTIENT TECHNOLOGY INC.;7.05
QVC;26.49
QVC;26.37
QWEST CORP.;25.47
QWEST CORP.;26.42
R.R. DONNELLEY & SONS CO.;4.70
RADIAN GROUP INC.;23.78
RAFAEL HLD.;47.01
RALPH LAUREN CORP.;116.59
RANGE RESOURCES;13.80
RANGER ENERGY SERVICES;7.48
RANPAK HLD.;30.41
RAYMOND JAMES FINANCIAL INC.;139.18
RAYONIER ADVANCED MATERIALS;6.71
RAYONIER INC. REIT;35.40
RAYTHEON TECHNOLOGIES;85.00
RE/MAX HLD.;33.63
READY CAPITAL CORP.;26.21
READY CAPITAL CORP.;26.94
READY CAPITAL CORP.;25.87
READY CAPITAL CORPROATION;15.25
REALOGY HOLDINGS;17.30
REALTY INCOME CORP.;71.02
REDWOOD TRUST INC.;12.36
REGAL BELOIT CORP.;151.24
REGALWOOD GLOBAL ENERGY;0.001
REGIONAL MANAGEMENT;57.43
REGIONS FINANCIAL;20.69
REGIS CORP.;6.31
REINSURANCE GROUP OF AMERICA;28.86
REINSURANCE GROUP OF AMERICA;116.18
REINSURANCE GROUP OF AMERICA;26.85
RELIANCE STEEL & ALUMINUM CO.;151.08
RELX PLC PLC ADS EACH;30.03
RENAISSANCERE HOLDINGS;160.67
RENESOLA;6.78
RENREN INC. ADS;10.83
REPUBLIC SERVICES INC.;123.05
RESIDEO TECHNOLOGIES INC.;30.90
RESMED INC.;284.32
RESOLUTE FOREST PRODUCTS INC.;12.48
RESTAURANT BRANDS INTL.;64.62
RETAIL PROPERTIES OF AMERICA;12.59
RETAIL VALUE INC.;24.59
REV GROUP INC.;15.69
REVLON INC. NEW;11.27
REVOLVE GROUP INC. CLASS A;56.69
REX AMERICAN RESOURCES;82.89
REXFORD INDUSTRIAL REALTY INC.;60.01
REXNORD CORP.;60.86
RH;700.99
RIBBIT LEAP;9.99
RINGCENTRAL INC. CLASS A;254.12
RIO TINTO PLC;73.87
RISKIFIED;25.46
RITCHIE BROS. AUCTIONEERS INC.;62.02
RITE AID CORP.;16.74
RIVERNORTH FLEXIBLE MUNI. INC. FUND II;21.30
RIVERNORTH SPECIALTY FINANCE;25.44
RIVERNORTH SPECIALTY FINANCE;19.43
RLI CORP.;108.91
RLJ LODGING TRUST;14.06
RLX TECHNOLOGY INC. ADS;4.72
ROBERT HALF INTERNATIONAL INC.;103.37
ROBLOX CORP.;87.16
ROCKET COMPANIES INC. CLASS A;17.90
ROCKET INTERNET GROWTH OPPORTUNITIES;9.65
ROCKLEY PHOTONICS HLD.;7.56
ROCKWELL AUTOMATION INC.;320.10
ROGERS COMMUNICATION INC.;50.24
ROGERS CORP.;205.01
ROLLINS INC.;38.26
ROMEO POWER INC. CLASS A;5.25
ROPER TECHNOLOGIES INC.;478.61
ROYAL BANK OF CANADA;105.35
ROYAL BANK OF CANADA 6.750% FIXED RATE/;27.70
ROYAL DUTCH SHELL PLC ROYAL DUTCH SHELL;39.15
ROYAL DUTCH SHELL PLC ROYAL DUTCH SHELL;39.59
ROYCE GLOBAL VALUE TRUST INC.;15.69
ROYCE MICRO-CAP TRUST INC.;11.66
ROYCE VALUE TRUST INC.;18.55
